"ServerName","Drive","DriveName","DriveModel","DriveSize","DriveFree","BackupStatus","BackupDate","BackupServer"
"MEHDPM-02","L:","bc52ff0442c94975bfdb05e6b08a8069","DataCore Virtual Disk  Multi-Path Disk Device","13194072424448","540129267712","False","",""
"MEHDPM-02","M:","82978da163d740bd83856f6ca494ae8f","DataCore Virtual Disk  Multi-Path Disk Device","10995049168896","4972674412544","False","",""
"MEHDPM-01","E:","fd79a72d927d4495b00461ac35b9ce96","DataCore Virtual Disk  Multi-Path Disk Device","13194072424448","6041171709952","False","",""
"MEHDPM-01","F:","7828d6adea844d9ca2fbc49f7a7240d8","DataCore Virtual Disk  Multi-Path Disk Device","10995049168896","5405734055936","False","",""
"MEHDPM-01","G:","dce3551849bd407f80ac52bb6511664a","DataCore Virtual Disk  Multi-Path Disk Device","10995049168896","1560568856576","False","",""
"MEHDPM-01","H:","3f028a0bc5e64c40b1bcd5cf42fc92c2","DataCore Virtual Disk  Multi-Path Disk Device","16492607307776","5801311023104","False","",""
"MEHDPM-01","J:","4755849de7c042dc8d4b1de97abd34a4","DataCore Virtual Disk  Multi-Path Disk Device","16492607307776","2567693574144","False","",""
"MEHDPM-01","K:","a1a8e8b4695449afa681c5ee3f6921c2","DataCore Virtual Disk  Multi-Path Disk Device","21990165446656","7082971963392","False","",""
"MEHDPM-01","M:","54e83a4de47b4f50bda016f493e2869c","DataCore Virtual Disk  Multi-Path Disk Device","29686746841088","13288796868608","False","",""
"MEHDPM-01","R:","Recovery","DataCore Virtual Disk  Multi-Path Disk Device","5497539260416","4616047718400","False","",""
"MEHCITOTST01","E:","SAN Data TST","DataCore Virtual Disk  Multi-Path Disk Device","214612045824","209148039168","False","",""
"MEHCITOTRN01","E:","SAN Data TRN","DataCore Virtual Disk  Multi-Path Disk Device","214612045824","212724027392","False","",""
"MEHCITOAPP01","E:","SAN Data LIVE","DataCore Virtual Disk  Multi-Path Disk Device","6596933447680","3162089271296","False","",""
"MEHBACKUP","L:","SAN - New L","DataCore Virtual Disk  Multi-Path Disk Device","3298397515776","891002613760","False","",""
"INSTALLSVR","E:","SAN Disk - Software","DataCore Virtual Disk  Multi-Path Disk Device","2199021154304","469221191680","False","",""
"APPLICATIONS2","E:","SAN E Archive - No Backup","DataCore Virtual Disk  Multi-Path Disk Device","536872214528","233822986240","False","",""
"APPLICATIONS2","F:","SAN Data","DataCore Virtual Disk  Multi-Path Disk Device","321986228224","180775575552","False","",""
"APPLICATIONS2","V:","SAN V Reading Archive","DataCore Virtual Disk  Multi-Path Disk Device","10994978910208","6064647004160","False","",""
