"ComputerName","Log","EventID","Datetime","User","Message"
"MEHRDS-43","Application","1000","15/03/2023 18:01:12","","Faulting application name: runw.exe, version: 6000.0.0.69, time stamp: 0x5ececbb1
Faulting module name: combase.dll, version: 10.0.14393.5717, time stamp: 0x63ddda30
Exception code: 0xc0000005
Fault offset: 0x000f321f
Faulting process id: 0xb1e8
Faulting application start time: 0x01d9576519255c21
Faulting application path: C:\Program Files (x86)\Micro Focus\COBOL Server\bin\runw.exe
Faulting module path: C:\Windows\System32\combase.dll
Report Id: 011bc43b-e0f9-4ebd-bb39-0919d8b97faa
Faulting package full name: 
Faulting package-relative application ID: "
"MEHRDS-28","Application","3001","15/03/2023 17:59:54","NT AUTHORITY\SYSTEM","The process 'C:\Program Files (x86)\Ivanti\Workspace Control\pfwsmgr.exe' was terminated by the process 'C:\Windows\System32\svchost.exe' with termination code -1073740771. The creation time for the exiting process was 0x01d95742703137d1."
"MEHRDS-44","Application","3001","15/03/2023 17:58:53","NT AUTHORITY\SYSTEM","The process 'C:\Program Files (x86)\Ivanti\Workspace Control\pfwsmgr.exe' was terminated by the process 'C:\Windows\System32\svchost.exe' with termination code -1073740771. The creation time for the exiting process was 0x01d9571f199e9c74."
"MEHRDS-12","Application","3001","15/03/2023 17:57:25","NT AUTHORITY\SYSTEM","The process 'C:\Program Files (x86)\Ivanti\Workspace Control\pfwsmgr.exe' was terminated by the process 'C:\Windows\System32\svchost.exe' with termination code -1073740771. The creation time for the exiting process was 0x01d9574df43596fa."
"MEHRDS-69","Application","1000","15/03/2023 17:56:10","","Faulting application name: runw.exe, version: 6000.0.0.69, time stamp: 0x5ececbb1
Faulting module name: combase.dll, version: 10.0.14393.5717, time stamp: 0x63ddda30
Exception code: 0xc0000005
Fault offset: 0x000f321f
Faulting process id: 0x9938
Faulting application start time: 0x01d95763cf24482b
Faulting application path: C:\Program Files (x86)\Micro Focus\COBOL Server\bin\runw.exe
Faulting module path: C:\Windows\System32\combase.dll
Report Id: b2390ca0-68fc-4939-a15a-c954c70f071e
Faulting package full name: 
Faulting package-relative application ID: "
"MEHRDS-07","Application","3001","15/03/2023 17:48:46","NT AUTHORITY\SYSTEM","The process 'C:\Program Files (x86)\Ivanti\Workspace Control\pfwsmgr.exe' was terminated by the process 'C:\Windows\System32\svchost.exe' with termination code -1073740771. The creation time for the exiting process was 0x01d957585822095c."
"MEHRDS-59","Application","1000","15/03/2023 17:48:30","","Faulting application name: runw.exe, version: 6000.0.0.69, time stamp: 0x5ececbb1
Faulting module name: combase.dll, version: 10.0.14393.5717, time stamp: 0x63ddda30
Exception code: 0xc0000005
Fault offset: 0x000f321f
Faulting process id: 0x6cf0
Faulting application start time: 0x01d9572769097115
Faulting application path: C:\Program Files (x86)\Micro Focus\COBOL Server\bin\runw.exe
Faulting module path: C:\Windows\System32\combase.dll
Report Id: c0733c89-d0f7-4c2a-b8b8-4b0e0b291a54
Faulting package full name: 
Faulting package-relative application ID: "
"MEHRDS-08","Application","3001","15/03/2023 17:47:05","NT AUTHORITY\SYSTEM","The process 'C:\Program Files (x86)\Ivanti\Workspace Control\pfwsmgr.exe' was terminated by the process 'C:\Windows\System32\svchost.exe' with termination code -1073740771. The creation time for the exiting process was 0x01d95703765fc2d4."
"MEHRDS-20","Application","3001","15/03/2023 17:46:53","NT AUTHORITY\SYSTEM","The process 'C:\Program Files (x86)\Ivanti\Workspace Control\pfwsmgr.exe' was terminated by the process 'C:\Windows\System32\svchost.exe' with termination code -1073740771. The creation time for the exiting process was 0x01d9574af1e4d862."
"MEHRDS-06","Application","1000","15/03/2023 17:45:16","","Faulting application name: Acuity.exe, version: 2.0.70.19, time stamp: 0x2a425e19
Faulting module name: ntdll.dll, version: 10.0.14393.5427, time stamp: 0x63368a30
Exception code: 0xc0000005
Fault offset: 0x000587a9
Faulting process id: 0x5878
Faulting application start time: 0x01d9574aa0864ff7
Faulting application path: C:\acuity\Client\Acuity.exe
Faulting module path: C:\Windows\SYSTEM32\ntdll.dll
Report Id: 14a58f10-6ef7-493c-9b01-6d735aa8d269
Faulting package full name: 
Faulting package-relative application ID: "
"MEHRDS-24","Application","3001","15/03/2023 17:41:28","NT AUTHORITY\SYSTEM","The process 'C:\Program Files (x86)\Ivanti\Workspace Control\pfwsmgr.exe' was terminated by the process 'C:\Windows\System32\svchost.exe' with termination code -1073740771. The creation time for the exiting process was 0x01d9571bc252ab36."
"MEHRDS-35","Application","3001","15/03/2023 17:38:08","NT AUTHORITY\SYSTEM","The process 'C:\Program Files (x86)\Ivanti\Workspace Control\pfwsmgr.exe' was terminated by the process 'C:\Windows\System32\svchost.exe' with termination code -1073740771. The creation time for the exiting process was 0x01d9571eed228fd9."
"MEHRDS-04","Application","3001","15/03/2023 17:35:46","NT AUTHORITY\SYSTEM","The process 'C:\Program Files (x86)\Ivanti\Workspace Control\pfwsmgr.exe' was terminated by the process 'C:\Windows\System32\svchost.exe' with termination code -1073740771. The creation time for the exiting process was 0x01d9572d08255231."
"MEHRDS-74","Application","3001","15/03/2023 17:34:57","NT AUTHORITY\SYSTEM","The process 'C:\Program Files (x86)\Ivanti\Workspace Control\pfwsmgr.exe' was terminated by the process 'C:\Windows\System32\svchost.exe' with termination code -1073740771. The creation time for the exiting process was 0x01d9571ea4fbf1f3."
"MEHRDS-38","Application","3001","15/03/2023 17:34:27","NT AUTHORITY\SYSTEM","The process 'C:\Program Files (x86)\Ivanti\Workspace Control\pfwsmgr.exe' was terminated by the process 'C:\Windows\System32\svchost.exe' with termination code -1073740771. The creation time for the exiting process was 0x01d9571d8c3ccd8e."
"MEHRDS-77","Application","3001","15/03/2023 17:32:34","NT AUTHORITY\SYSTEM","The process 'C:\Program Files (x86)\Ivanti\Workspace Control\pfwsmgr.exe' was terminated by the process 'C:\Windows\System32\svchost.exe' with termination code -1073740771. The creation time for the exiting process was 0x01d9571c5bd6cdb9."
"MEHRDS-34","Application","3001","15/03/2023 17:29:03","NT AUTHORITY\SYSTEM","The process 'C:\Program Files (x86)\Ivanti\Workspace Control\pfwsmgr.exe' was terminated by the process 'C:\Windows\System32\svchost.exe' with termination code -1073740771. The creation time for the exiting process was 0x01d9575977530b93."
"MEHRDS-24","Application","3001","15/03/2023 17:28:43","NT AUTHORITY\SYSTEM","The process 'C:\Program Files (x86)\Ivanti\Workspace Control\pfwsmgr.exe' was terminated by the process 'C:\Windows\System32\svchost.exe' with termination code -1073740771. The creation time for the exiting process was 0x01d95747bf312a92."
"MEHRDS-61","Application","1000","15/03/2023 17:28:03","","Faulting application name: Ssms.exe, version: 2019.150.18424.0, time stamp: 0x62b10e6f
Faulting module name: unknown, version: 0.0.0.0, time stamp: 0x00000000
Exception code: 0xc0000005
Fault offset: 0x1903ccc8
Faulting process id: 0x3c20
Faulting application start time: 0x01d9574958efda92
Faulting application path: C:\Program Files (x86)\Microsoft SQL Server Management Studio 18\Common7\IDE\Ssms.exe
Faulting module path: unknown
Report Id: ce4a6c55-5f4b-4d2d-879d-21ee41968845
Faulting package full name: 
Faulting package-relative application ID: "
"MEHRDS-12","Application","3001","15/03/2023 17:23:15","NT AUTHORITY\SYSTEM","The process 'C:\Program Files (x86)\Ivanti\Workspace Control\pfwsmgr.exe' was terminated by the process 'C:\Windows\System32\svchost.exe' with termination code -1073740771. The creation time for the exiting process was 0x01d9571937641897."
"MEHRDS-62","Application","1000","15/03/2023 17:20:14","","Faulting application name: uniface.exe, version: 9.7.4.0, time stamp: 0x5995a93b
Faulting module name: umsw.dll, version: 9.7.4.0, time stamp: 0x5995a987
Exception code: 0xc0000005
Fault offset: 0x00033fdf
Faulting process id: 0x5764
Faulting application start time: 0x01d9573b452795a1
Faulting application path: C:\Program Files (x86)\Uniface\Uniface 9.7.04\common\bin\uniface.exe
Faulting module path: C:\Program Files (x86)\Uniface\Uniface 9.7.04\common\bin\umsw.dll
Report Id: 3dbb0ba4-0bc6-4177-9b91-77ef85edc8df
Faulting package full name: 
Faulting package-relative application ID: "
"MEHRDS-42","Application","1000","15/03/2023 17:18:51","","Faulting application name: runw.exe, version: 6000.0.0.69, time stamp: 0x5ececbb1
Faulting module name: MFOLEM.DLL, version: 6000.0.0.69, time stamp: 0x5ececb29
Exception code: 0xc0000005
Fault offset: 0x00001782
Faulting process id: 0xaac0
Faulting application start time: 0x01d9573e828ed312
Faulting application path: C:\Program Files (x86)\Micro Focus\COBOL Server\bin\runw.exe
Faulting module path: C:\Program Files (x86)\Micro Focus\COBOL Server\bin\MFOLEM.DLL
Report Id: 62ded00a-7e88-4486-b466-9f231bd17579
Faulting package full name: 
Faulting package-relative application ID: "
"MEHRDS-06","Application","1000","15/03/2023 17:14:26","","Faulting application name: POWERPNT.EXE, version: 14.0.7162.5000, time stamp: 0x561e73e5
Faulting module name: unknown, version: 0.0.0.0, time stamp: 0x00000000
Exception code: 0xc0000005
Fault offset: 0x74f9e901
Faulting process id: 0x86b8
Faulting application start time: 0x01d95731d5224a1d
Faulting application path: C:\Program Files (x86)\Microsoft Office\Office14\POWERPNT.EXE
Faulting module path: unknown
Report Id: d628a6bd-c354-11ed-b8e7-001dd8b71d01
Faulting package full name: 
Faulting package-relative application ID: "
"MEHRDS-12","Application","3001","15/03/2023 17:13:32","NT AUTHORITY\SYSTEM","The process 'C:\Program Files (x86)\Ivanti\Workspace Control\pfwsmgr.exe' was terminated by the process 'C:\Windows\System32\svchost.exe' with termination code -1073740771. The creation time for the exiting process was 0x01d9571d2768400f."
"MEHRDS-35","Application","3001","15/03/2023 17:12:44","NT AUTHORITY\SYSTEM","The process 'C:\Program Files (x86)\Ivanti\Workspace Control\pfwsmgr.exe' was terminated by the process 'C:\Windows\System32\svchost.exe' with termination code -1073740771. The creation time for the exiting process was 0x01d9573e2f9eed20."
"MEHRDS-55","Application","1000","15/03/2023 17:11:17","","Faulting application name: runw.exe, version: 6000.0.0.69, time stamp: 0x5ececbb1
Faulting module name: combase.dll, version: 10.0.14393.5717, time stamp: 0x63ddda30
Exception code: 0xc0000005
Fault offset: 0x000f321f
Faulting process id: 0xb270
Faulting application start time: 0x01d9575c271e2dde
Faulting application path: C:\Program Files (x86)\Micro Focus\COBOL Server\bin\runw.exe
Faulting module path: C:\Windows\System32\combase.dll
Report Id: 1f7106d7-0f92-4a80-9759-ca17d2cd1569
Faulting package full name: 
Faulting package-relative application ID: "
