"TimeCreated","User","ServerName","Resource","Action"
"02/12/2021 18:51:31","CITY_ROAD\FRANCISD1","MEHGW-02","rds","logon"
"02/12/2021 18:49:45","CITY_ROAD\FRANCISD1","MEHGW-02","rds","logoff"
"02/12/2021 18:49:41","CITY_ROAD\NussinovitchH","MEHGW-01","rds","logoff"
"02/12/2021 18:46:25","CITY_ROAD\TRIBUNALC","MEHGW-02","M015158","logon"
"02/12/2021 18:46:25","CITY_ROAD\TRIBUNALC","MEHGW-02","M015158","logoff"
"02/12/2021 18:46:02","CITY_ROAD\TRIBUNALC","MEHGW-02","M015158","logon"
"02/12/2021 18:44:14","CITY_ROAD\FRANCISD1","MEHGW-02","rds","logon"
"02/12/2021 18:44:14","CITY_ROAD\FRANCISD1","MEHGW-02","rds","logoff"
"02/12/2021 18:44:09","CITY_ROAD\FRANCISD1","MEHGW-02","rds","logon"
"02/12/2021 18:43:48","CITY_ROAD\CalcagniA","MEHGW-02","M015457","logoff"
"02/12/2021 18:39:56","CITY_ROAD\FlattN","MEHGW-01","m015526","logoff"
"02/12/2021 18:39:51","CITY_ROAD\RajoriaS","MEHGW-01","rds","logoff"
"02/12/2021 18:36:30","CITY_ROAD\MCEVOYL","MEHGW-02","rds","logoff"
"02/12/2021 18:32:54","CITY_ROAD\CHOWDHURYT","MEHGW-01","rds","logoff"
"02/12/2021 18:30:43","CITY_ROAD\ROBSONA1","MEHGW-02","m017589","logon"
"02/12/2021 18:18:30","CITY_ROAD\LAWRENCES","MEHGW-01","rds","logoff"
"02/12/2021 18:11:52","CITY_ROAD\ROBSONA1","MEHGW-01","m017589","logoff"
"02/12/2021 18:10:25","CITY_ROAD\CollinsP","MEHGW-02","rds","logoff"
"02/12/2021 18:05:19","CITY_ROAD\KeaneD","MEHGW-01","rds","logoff"
"02/12/2021 18:04:38","CITY_ROAD\AddisonP","MEHGW-01","rds","logoff"
"02/12/2021 18:03:44","CITY_ROAD\AddisonP","MEHGW-01","rds","logon"
"02/12/2021 18:03:42","CITY_ROAD\AddisonP","MEHGW-01","rds","logoff"
"02/12/2021 18:03:29","CITY_ROAD\AddisonP","MEHGW-01","rds","logon"
"02/12/2021 17:48:28","CITY_ROAD\HOLASR","MEHGW-02","rds","logoff"
"02/12/2021 17:47:51","CITY_ROAD\ROBSONA1","MEHGW-01","m017589","logon"
"02/12/2021 17:47:39","CITY_ROAD\ROBSONA1","MEHGW-02","m017589","logoff"
"02/12/2021 17:44:32","CITY_ROAD\RichardsonA","MEHGW-02","rds","logoff"
"02/12/2021 17:41:25","CITY_ROAD\FuruglyasovaL","MEHGW-02","rds","logoff"
"02/12/2021 17:40:55","CITY_ROAD\GILLS","MEHGW-02","m016815","logon"
"02/12/2021 17:40:55","CITY_ROAD\GILLS","MEHGW-02","m016815","logoff"
"02/12/2021 17:40:29","CITY_ROAD\ROBSONA1","MEHGW-02","m017589","logon"
"02/12/2021 17:40:18","CITY_ROAD\GILLS","MEHGW-02","m016815","logon"
"02/12/2021 17:29:57","CITY_ROAD\AmarodaSilvaA","MEHGW-02","rds","logoff"
"02/12/2021 17:25:42","CITY_ROAD\SCHIFFE","MEHGW-02","rds","logoff"
"02/12/2021 17:24:58","CITY_ROAD\SCHIFFE","MEHGW-02","rds","logon"
"02/12/2021 17:24:37","CITY_ROAD\TothM","MEHGW-02","rds","logoff"
"02/12/2021 17:23:58","CITY_ROAD\AddisonP","MEHGW-02","rds","logoff"
"02/12/2021 17:23:22","CITY_ROAD\TothM","MEHGW-02","rds","logon"
"02/12/2021 17:22:56","CITY_ROAD\TothM","MEHGW-02","rds","logoff"
"02/12/2021 17:21:16","CITY_ROAD\CARNEYM","MEHGW-02","rds","logoff"
"02/12/2021 17:20:05","CITY_ROAD\CARNEYM","MEHGW-02","rds","logon"
"02/12/2021 17:20:05","CITY_ROAD\CARNEYM","MEHGW-02","rds","logoff"
"02/12/2021 17:19:42","CITY_ROAD\CARNEYM","MEHGW-02","rds","logon"
"02/12/2021 17:17:58","CITY_ROAD\CollinsP","MEHGW-02","rds","logon"
"02/12/2021 17:15:53","CITY_ROAD\FORRESTERR","MEHGW-02","rds","logoff"
"02/12/2021 17:15:48","CITY_ROAD\CollinsP","MEHGW-02","rds","logoff"
"02/12/2021 17:15:23","CITY_ROAD\CollinsP","MEHGW-02","rds","logon"
"02/12/2021 17:08:28","CITY_ROAD\TSAIW","MEHGW-01","rds","logoff"
"02/12/2021 17:08:18","CITY_ROAD\BrookS","MEHGW-01","rds","logoff"
"02/12/2021 17:01:41","CITY_ROAD\PATHMANATHANN2","MEHGW-01","rds","logoff"
"02/12/2021 17:00:54","CITY_ROAD\SayadianG","MEHGW-01","rds","logoff"
"02/12/2021 17:00:54","CITY_ROAD\FlattN","MEHGW-01","m015526","logon"
"02/12/2021 17:00:38","CITY_ROAD\FlattN","MEHGW-01","m015526","logoff"
"02/12/2021 17:00:34","CITY_ROAD\FlattN","MEHGW-01","m015526","logon"
"02/12/2021 17:00:27","CITY_ROAD\STACEYB","MEHGW-01","rds","logoff"
"02/12/2021 16:59:59","CITY_ROAD\KhanO","MEHGW-02","rds","logoff"
"02/12/2021 16:58:38","CITY_ROAD\FlattN","MEHGW-01","m015526","logoff"
"02/12/2021 16:58:18","CITY_ROAD\LaneR","MEHGW-02","rds","logoff"
"02/12/2021 16:58:15","CITY_ROAD\FlattN","MEHGW-01","m015526","logon"
"02/12/2021 16:57:45","CITY_ROAD\NAISHW","MEHGW-02","rds","logoff"
"02/12/2021 16:50:42","CITY_ROAD\BOURASK1","MEHGW-02","rds","logoff"
"02/12/2021 16:39:13","CITY_ROAD\AddisonP","MEHGW-02","rds","logon"
"02/12/2021 16:38:47","CITY_ROAD\TOWNSENDS","MEHGW-01","rds.moorfields.nhs.uk","logon"
"02/12/2021 16:38:17","CITY_ROAD\TOWNSENDS","MEHGW-02","rds.moorfields.nhs.uk","logoff"
"02/12/2021 16:37:42","CITY_ROAD\CHANTREK","MEHGW-02","rds","logoff"
"02/12/2021 16:33:36","CITY_ROAD\BHATOAN","MEHGW-02","rds","logoff"
"02/12/2021 16:32:56","CITY_ROAD\AddisonP","MEHGW-02","rds","logoff"
"02/12/2021 16:32:46","CITY_ROAD\CARMICHAELS","MEHGW-02","rds","logoff"
"02/12/2021 16:30:59","CITY_ROAD\RAMOSW","MEHGW-02","rds","logoff"
"02/12/2021 16:29:34","CITY_ROAD\CAZAUBONM","MEHGW-01","rds","logoff"
"02/12/2021 16:29:29","CITY_ROAD\TothM","MEHGW-02","rds","logon"
"02/12/2021 16:25:30","CITY_ROAD\GRAYR1","MEHGW-01","m016799.moorfields.nhs.uk","logoff"
"02/12/2021 16:24:39","CITY_ROAD\PALMER-ANSCOMBC","MEHGW-02","rds","logoff"
"02/12/2021 16:22:55","CITY_ROAD\TothM","MEHGW-02","rds","logoff"
"02/12/2021 16:21:48","CITY_ROAD\NAISHW","MEHGW-02","rds","logon"
"02/12/2021 16:21:25","CITY_ROAD\NAISHW","MEHGW-02","rds","logoff"
"02/12/2021 16:21:19","CITY_ROAD\NAISHW","MEHGW-02","rds","logon"
"02/12/2021 16:13:55","CITY_ROAD\ROBSONA1","MEHGW-02","m017589","logoff"
"02/12/2021 16:12:56","CITY_ROAD\CARNEYM","MEHGW-02","rds","logoff"
"02/12/2021 16:12:46","CITY_ROAD\CARNEYM","MEHGW-02","rds","logon"
"02/12/2021 16:12:42","CITY_ROAD\CARNEYM","MEHGW-02","rds","logoff"
"02/12/2021 16:12:31","CITY_ROAD\TSAIW","MEHGW-01","rds","logon"
"02/12/2021 16:12:17","CITY_ROAD\CARNEYM","MEHGW-02","rds","logon"
"02/12/2021 16:11:54","CITY_ROAD\TSAIW","MEHGW-01","rds","logoff"
"02/12/2021 16:11:29","CITY_ROAD\TSAIW","MEHGW-01","rds","logon"
"02/12/2021 16:11:07","CITY_ROAD\BOURASK1","MEHGW-02","rds","logon"
"02/12/2021 16:10:15","CITY_ROAD\BOURASK1","MEHGW-02","rds","logoff"
"02/12/2021 16:09:56","CITY_ROAD\BOURASK1","MEHGW-02","rds","logon"
"02/12/2021 16:07:51","CITY_ROAD\PATHMANATHANN2","MEHGW-01","rds","logoff"
"02/12/2021 16:07:32","CITY_ROAD\PATHMANATHANN2","MEHGW-01","rds","logon"
"02/12/2021 16:02:55","CITY_ROAD\GRIFFITHST","MEHGW-02","rds","logoff"
"02/12/2021 16:02:01","CITY_ROAD\NicholsonL","MEHGW-02","rds","logoff"
"02/12/2021 16:01:25","CITY_ROAD\TOWNSENDS","MEHGW-02","rds.moorfields.nhs.uk","logon"
"02/12/2021 16:01:22","CITY_ROAD\TOWNSENDS","MEHGW-02","rds.moorfields.nhs.uk","logoff"
"02/12/2021 16:00:59","CITY_ROAD\TOWNSENDS","MEHGW-02","rds.moorfields.nhs.uk","logon"
"02/12/2021 16:00:59","CITY_ROAD\TOWNSENDS","MEHGW-02","rds.moorfields.nhs.uk","logoff"
"02/12/2021 16:00:55","CITY_ROAD\TOWNSENDS","MEHGW-02","rds.moorfields.nhs.uk","logon"
"02/12/2021 15:57:18","CITY_ROAD\KIRKWOODH","MEHGW-01","rds","logoff"
"02/12/2021 15:54:39","CITY_ROAD\PavesioS","MEHGW-02","rds","logoff"
"02/12/2021 15:54:07","CITY_ROAD\GeorgeA","MEHGW-01","rds","logoff"
"02/12/2021 15:52:41","CITY_ROAD\ScarlettC","MEHGW-01","rds","logoff"
"02/12/2021 15:51:21","CITY_ROAD\MACKNEYC","MEHGW-01","rds","logoff"
"02/12/2021 15:48:35","CITY_ROAD\GeorgeA","MEHGW-01","rds","logon"
"02/12/2021 15:48:05","CITY_ROAD\GeorgeA","MEHGW-01","rds","logoff"
"02/12/2021 15:47:40","CITY_ROAD\GeorgeA","MEHGW-01","rds","logon"
"02/12/2021 15:45:31","CITY_ROAD\HussainR","MEHGW-01","rds","logoff"
"02/12/2021 15:42:21","CITY_ROAD\JENGM","MEHGW-01","rds","logoff"
"02/12/2021 15:40:20","CITY_ROAD\TAMASA","MEHGW-01","rds","logoff"
"02/12/2021 15:40:02","CITY_ROAD\TOWNSENDS","MEHGW-02","rds.moorfields.nhs.uk","logoff"
"02/12/2021 15:39:27","CITY_ROAD\TOWNSENDS","MEHGW-02","rds.moorfields.nhs.uk","logon"
"02/12/2021 15:39:03","CITY_ROAD\TOWNSENDS","MEHGW-02","rds.moorfields.nhs.uk","logoff"
"02/12/2021 15:36:17","CITY_ROAD\CalcagniA","MEHGW-02","M015457","logon"
"02/12/2021 15:35:47","CITY_ROAD\CalcagniA","MEHGW-01","M015457","logoff"
"02/12/2021 15:32:36","CITY_ROAD\NicholsonL","MEHGW-02","rds","logon"
"02/12/2021 15:32:36","CITY_ROAD\NicholsonL","MEHGW-02","rds","logoff"
"02/12/2021 15:32:14","CITY_ROAD\NicholsonL","MEHGW-02","rds","logon"
"02/12/2021 15:30:22","CITY_ROAD\SCHIFFE","MEHGW-02","rds","logoff"
"02/12/2021 15:29:28","CITY_ROAD\NicholsonL","MEHGW-01","rds","logoff"
"02/12/2021 15:29:06","CITY_ROAD\PapierK","MEHGW-01","rds","logoff"
"02/12/2021 15:25:16","CITY_ROAD\CHARNLEYA","MEHGW-02","rds","logoff"
"02/12/2021 15:22:30","CITY_ROAD\ROBSONA1","MEHGW-02","m017589","logon"
"02/12/2021 15:17:45","CITY_ROAD\ROBSONA1","MEHGW-02","m017589","logoff"
"02/12/2021 15:16:38","CITY_ROAD\PATHMANATHANN2","MEHGW-02","rds","logoff"
"02/12/2021 15:16:19","CITY_ROAD\PATHMANATHANN2","MEHGW-01","rds","logon"
"02/12/2021 15:13:05","CITY_ROAD\LAVIERSH","MEHGW-02","rds","logoff"
"02/12/2021 15:10:46","CITY_ROAD\SarkodieA","MEHGW-02","rds","logoff"
"02/12/2021 15:10:15","CITY_ROAD\SarkodieA","MEHGW-02","rds","logon"
"02/12/2021 15:10:12","CITY_ROAD\SarkodieA","MEHGW-02","rds","logoff"
"02/12/2021 15:10:09","CITY_ROAD\SarkodieA","MEHGW-02","rds","logon"
"02/12/2021 15:09:46","CITY_ROAD\SarkodieA","MEHGW-02","rds","logoff"
"02/12/2021 15:09:41","CITY_ROAD\SarkodieA","MEHGW-02","rds","logon"
"02/12/2021 15:08:41","CITY_ROAD\AjizA1","MEHGW-01","rds","logoff"
"02/12/2021 15:06:17","CITY_ROAD\SarkodieA","MEHGW-02","rds","logoff"
"02/12/2021 15:06:04","CITY_ROAD\SarkodieA","MEHGW-02","rds","logoff"
"02/12/2021 15:06:00","CITY_ROAD\SarkodieA","MEHGW-02","rds","logon"
"02/12/2021 15:05:46","CITY_ROAD\ScarlettC","MEHGW-01","rds","logon"
"02/12/2021 15:05:39","CITY_ROAD\SarkodieA","MEHGW-02","rds","logoff"
"02/12/2021 15:05:35","CITY_ROAD\SarkodieA","MEHGW-02","rds","logon"
"02/12/2021 15:05:17","CITY_ROAD\SarkodieA","MEHGW-02","rds","logoff"
"02/12/2021 15:05:14","CITY_ROAD\SarkodieA","MEHGW-02","rds","logon"
"02/12/2021 15:05:11","CITY_ROAD\CalcagniA","MEHGW-01","M015457","logon"
"02/12/2021 15:05:01","CITY_ROAD\ScarlettC","MEHGW-01","rds","logoff"
"02/12/2021 15:04:59","CITY_ROAD\ScarlettC","MEHGW-01","rds","logon"
"02/12/2021 15:04:47","CITY_ROAD\SarkodieA","MEHGW-02","rds","logon"
"02/12/2021 15:04:41","CITY_ROAD\CalcagniA","MEHGW-02","M015457","logoff"
"02/12/2021 15:04:31","CITY_ROAD\ScarlettC","MEHGW-01","rds","logoff"
"02/12/2021 15:04:26","CITY_ROAD\ScarlettC","MEHGW-01","rds","logon"
"02/12/2021 15:03:39","CITY_ROAD\ScarlettC","MEHGW-01","rds","logoff"
"02/12/2021 15:03:32","CITY_ROAD\ScarlettC","MEHGW-01","rds","logon"
"02/12/2021 14:58:49","CITY_ROAD\LAVIERSH","MEHGW-02","rds","logon"
"02/12/2021 14:58:18","CITY_ROAD\LAVIERSH","MEHGW-02","rds","logoff"
"02/12/2021 14:57:52","CITY_ROAD\LAVIERSH","MEHGW-02","rds","logon"
"02/12/2021 14:54:44","CITY_ROAD\JindalA","MEHGW-02","rds","logoff"
"02/12/2021 14:53:13","CITY_ROAD\CARPENTERD","MEHGW-01","rds","logoff"
"02/12/2021 14:50:26","CITY_ROAD\MorrisL","MEHGW-01","rds","logoff"
"02/12/2021 14:46:15","CITY_ROAD\ScarlettC","MEHGW-01","rds","logoff"
"02/12/2021 14:45:35","CITY_ROAD\ScarlettC","MEHGW-01","rds","logoff"
"02/12/2021 14:45:30","CITY_ROAD\ScarlettC","MEHGW-01","rds","logon"
"02/12/2021 14:44:49","CITY_ROAD\ScarlettC","MEHGW-01","rds","logon"
"02/12/2021 14:44:13","CITY_ROAD\NicholsonL","MEHGW-01","rds","logon"
"02/12/2021 14:44:13","CITY_ROAD\NicholsonL","MEHGW-01","rds","logoff"
"02/12/2021 14:43:48","CITY_ROAD\NicholsonL","MEHGW-01","rds","logon"
"02/12/2021 14:43:45","CITY_ROAD\ScarlettC","MEHGW-01","rds","logoff"
"02/12/2021 14:43:16","CITY_ROAD\LAKHANIS","MEHGW-01","rds","logoff"
"02/12/2021 14:38:29","CITY_ROAD\GilbertM","MEHGW-01","rds","logoff"
"02/12/2021 14:37:24","CITY_ROAD\SCHIFFE","MEHGW-02","rds","logon"
"02/12/2021 14:35:07","CITY_ROAD\ROBSONA1","MEHGW-02","m017589","logon"
"02/12/2021 14:34:51","CITY_ROAD\ROBSONA1","MEHGW-02","m017589","logoff"
"02/12/2021 14:33:44","CITY_ROAD\CalcagniA","MEHGW-02","M015457","logon"
