"FolderName","Path","Description","SizeMB","ItemCount","Owner","mail","Enabled","Permission","Comments"
".ssh","\\applications2\gills\.ssh",".ssh","0.00226974487304688","3","GILLS",,,"Modify, Synchronize",""
".ssh","\\applications2\gills\.ssh",".ssh","0.00226974487304688","3",,,,"FullControl",""
"BigHand Data","\\applications2\gills\BigHand Data","BigHand Data","0.58935546875","34","GILLS",,,"Modify, Synchronize",""
"BigHand Data","\\applications2\gills\BigHand Data","BigHand Data","0.58935546875","34",,,,"FullControl",""
"Documents_01","\\applications2\gills\Documents_01","Documents_01","65.2053527832031","355","GILLS",,,"Modify, Synchronize",""
"Documents_01","\\applications2\gills\Documents_01","Documents_01","65.2053527832031","355",,,,"FullControl",""
"Documents_02","\\applications2\gills\Documents_02","Documents_02","138.707835197449","1901","GILLS",,,"Modify, Synchronize",""
"Documents_02","\\applications2\gills\Documents_02","Documents_02","138.707835197449","1901",,,,"FullControl",""
"Documents_03","\\applications2\gills\Documents_03","Documents_03","237.021389007568","380","GILLS",,,"Modify, Synchronize",""
"Documents_03","\\applications2\gills\Documents_03","Documents_03","237.021389007568","380",,,,"FullControl",""
"Documents_04","\\applications2\gills\Documents_04","Documents_04","170.585730552673","148","GILLS",,,"Modify, Synchronize",""
"Documents_04","\\applications2\gills\Documents_04","Documents_04","170.585730552673","148",,,,"FullControl",""
"Documents_05","\\applications2\gills\Documents_05","Documents_05","72.1462688446045","207","GILLS",,,"Modify, Synchronize",""
"Documents_05","\\applications2\gills\Documents_05","Documents_05","72.1462688446045","207",,,,"FullControl",""
"Documents_06","\\applications2\gills\Documents_06","Documents_06","43.5731821060181","78","GILLS",,,"Modify, Synchronize",""
"Documents_06","\\applications2\gills\Documents_06","Documents_06","43.5731821060181","78",,,,"FullControl",""
"Documents_07","\\applications2\gills\Documents_07","Documents_07","71.1831789016724","227","GILLS",,,"Modify, Synchronize",""
"Documents_07","\\applications2\gills\Documents_07","Documents_07","71.1831789016724","227",,,,"FullControl",""
"Documents_08","\\applications2\gills\Documents_08","Documents_08","13.1889867782593","84","GILLS",,,"Modify, Synchronize",""
"Documents_08","\\applications2\gills\Documents_08","Documents_08","13.1889867782593","84",,,,"FullControl",""
"Documents_09","\\applications2\gills\Documents_09","Documents_09","154.588840484619","250","GILLS",,,"Modify, Synchronize",""
"Documents_09","\\applications2\gills\Documents_09","Documents_09","154.588840484619","250",,,,"FullControl",""
"Documents_10","\\applications2\gills\Documents_10","Documents_10","42.5927467346191","96","GILLS",,,"Modify, Synchronize",""
"Documents_10","\\applications2\gills\Documents_10","Documents_10","42.5927467346191","96",,,,"FullControl",""
"Documents_11","\\applications2\gills\Documents_11","Documents_11","70.5433197021484","189","GILLS",,,"Modify, Synchronize",""
